FID,Id,X,y,longitud,latitud
285,0,621016.0000000,9773770.0000000,-79.9117966,-2.0463700
286,0,621017.0000000,9773770.0000000,-79.9117966,-2.0463700
287,0,621018.0000000,9773770.0000000,-79.9117966,-2.0463700
288,0,621019.0000000,9773770.0000000,-79.9117966,-2.0463700
289,0,621020.0000000,9773770.0000000,-79.9117966,-2.0463700
290,0,621021.0000000,9773770.0000000,-79.9117966,-2.0463700
291,0,621022.0000000,9773770.0000000,-79.9117966,-2.0463700
292,0,621023.0000000,9773770.0000000,-79.9117966,-2.0463700
293,0,621024.0000000,9773770.0000000,-79.9117966,-2.0463700
294,0,621025.0000000,9773770.0000000,-79.9117966,-2.0463700
295,0,621026.0000000,9773770.0000000,-79.9116974,-2.0463700
296,0,621027.0000000,9773770.0000000,-79.9116974,-2.0463700
297,0,621028.0000000,9773770.0000000,-79.9116974,-2.0463700
298,0,621029.0000000,9773770.0000000,-79.9116974,-2.0463700
299,0,621030.0000000,9773770.0000000,-79.9116974,-2.0463700
300,0,621031.0000000,9773770.0000000,-79.9116974,-2.0463700
301,0,621032.0000000,9773770.0000000,-79.9116974,-2.0463700
302,0,621033.0000000,9773770.0000000,-79.9116974,-2.0463700
303,0,621034.0000000,9773770.0000000,-79.9116974,-2.0463700
304,0,621035.0000000,9773770.0000000,-79.9116974,-2.0463700
305,0,621016.0000000,9773770.0000000,-79.9117966,-2.0463600
306,0,621017.0000000,9773770.0000000,-79.9117966,-2.0463600
307,0,621018.0000000,9773770.0000000,-79.9117966,-2.0463600
308,0,621019.0000000,9773770.0000000,-79.9117966,-2.0463600
309,0,621020.0000000,9773770.0000000,-79.9117966,-2.0463600
310,0,621021.0000000,9773770.0000000,-79.9117966,-2.0463600
311,0,621022.0000000,9773770.0000000,-79.9117966,-2.0463600
312,0,621023.0000000,9773770.0000000,-79.9117966,-2.0463600
313,0,621024.0000000,9773770.0000000,-79.9117966,-2.0463600
314,0,621025.0000000,9773770.0000000,-79.9117966,-2.0463600
315,0,621026.0000000,9773770.0000000,-79.9116974,-2.0463600
316,0,621027.0000000,9773770.0000000,-79.9116974,-2.0463600
317,0,621028.0000000,9773770.0000000,-79.9116974,-2.0463600
318,0,621029.0000000,9773770.0000000,-79.9116974,-2.0463600
319,0,621030.0000000,9773770.0000000,-79.9116974,-2.0463600
320,0,621031.0000000,9773770.0000000,-79.9116974,-2.0463600
321,0,621032.0000000,9773770.0000000,-79.9116974,-2.0463600
322,0,621033.0000000,9773770.0000000,-79.9116974,-2.0463600
323,0,621034.0000000,9773770.0000000,-79.9116974,-2.0463600
324,0,621035.0000000,9773770.0000000,-79.9116974,-2.0463600
325,0,621036.0000000,9773770.0000000,-79.9116974,-2.0463600
326,0,621037.0000000,9773770.0000000,-79.9115982,-2.0463600
327,0,621016.0000000,9773770.0000000,-79.9117966,-2.0463500
328,0,621017.0000000,9773770.0000000,-79.9117966,-2.0463500
329,0,621018.0000000,9773770.0000000,-79.9117966,-2.0463500
330,0,621019.0000000,9773770.0000000,-79.9117966,-2.0463500
331,0,621020.0000000,9773770.0000000,-79.9117966,-2.0463500
332,0,621021.0000000,9773770.0000000,-79.9117966,-2.0463500
333,0,621022.0000000,9773770.0000000,-79.9117966,-2.0463500
334,0,621023.0000000,9773770.0000000,-79.9117966,-2.0463500
335,0,621024.0000000,9773770.0000000,-79.9117966,-2.0463500
